championship_id;champion;games;pb;b;g;played_by_number_players;win;lose;winrate;kill;death;assist;kda;cs;csm;gold;gold_per_m;dmg;dmg_per_m;kpar;ks;gs;As
CBLOL/2018_Season/Split_1;Maokai;4;6.1%;-;4;3;1;3;25%;0.75;3.5;7.5;2.36;247.75;6.47;12.1;316;-;-;73.3%;6.7%;18.6%;['Top Laner']
CBLOL/2018_Season/Split_1;Leona;4;6.1%;1;3;2;3;0;100%;1;4.33;9.67;2.46;46.67;1.53;8.4;275;-;-;66.7%;6.3%;14.2%;['Support']
CBLOL/2018_Season/Split_1;Fizz;4;6.1%;2;2;1;2;0;100%;8;2.5;4;4.8;282;7.4;15.6;410;-;-;75%;50%;22%;['Mid Laner']
CBLOL/2018_Season/Split_1;Janna;4;6.1%;2;2;1;2;0;100%;0.5;2;8.5;4.5;14;0.46;8.2;269;-;-;62.1%;3.4%;13.8%;['Support']
CBLOL/2018_Season/Split_1;Xin Zhao;4;6.1%;2;2;2;1;1;50%;2;2.5;6.5;3.4;179.5;4.7;12.7;333;-;-;63%;14.8%;18.2%;['Jungler']
CBLOL/2018_Season/Split_1;Shyvana;3;4.5%;-;3;1;0;3;0%;1.67;3;4;1.89;239;6.15;12.8;328;-;-;73.9%;21.7%;19.4%;['Jungler']
CBLOL/2018_Season/Split_1;Poppy;3;4.5%;1;2;2;2;0;100%;3.5;1;5;8.5;261;8.06;13.5;418;-;-;77.3%;31.8%;22.2%;['Top Laner']
CBLOL/2018_Season/Split_1;Veigar;3;4.5%;1;2;2;1;1;50%;2;2;3;2.5;276.5;7.94;12.7;364;-;-;71.4%;28.6%;20.9%;['Mid Laner']
CBLOL/2018_Season/Split_1;Thresh;3;4.5%;1;2;2;0;2;0%;0.5;3;3.5;1.33;47;1.27;7.5;202;-;-;61.5%;7.7%;12.8%;['Support']
CBLOL/2018_Season/Split_1;Jax;3;4.5%;2;1;1;0;1;0%;3;4;4;1.75;168;4.62;11.1;306;-;-;58.3%;25%;17.9%;['Jungler']
CBLOL/2018_Season/Split_1;Sivir;3;4.5%;3;0;-;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;[]
CBLOL/2018_Season/Split_1;Ashe;2;3%;-;2;1;1;1;50%;0.5;1;1.5;2;306;9.39;12.4;379;-;-;23.5%;5.9%;21.9%;['Bot Laner']
CBLOL/2018_Season/Split_1;Fiddlesticks;2;3%;-;2;1;1;1;50%;2.5;4.5;7.5;2.22;387;7.76;19.4;390;-;-;87%;21.7%;20.8%;['Mid Laner']
CBLOL/2018_Season/Split_1;Rek'Sai;2;3%;-;2;2;1;1;50%;3;3.5;5;2.29;179.5;5.15;11.7;335;-;-;57.1%;21.4%;18.9%;['Jungler']
CBLOL/2018_Season/Split_1;Xerath;2;3%;-;2;2;1;1;50%;2;3.5;4.5;1.86;312;8.18;13.7;358;-;-;54.2%;16.7%;20.7%;['Mid Laner']
