championship_id;champion;games;pb;b;g;played_by_number_players;win;lose;winrate;kill;death;assist;kda;cs;csm;gold;gold_per_m;dmg;dmg_per_m;kpar;ks;gs;As
VCS/2020_Season/Spring_Season;Volibear;8;5.8%;2;6;3;3;3;50%;1;3.67;7.17;2.23;61;2.13;7.2;251;-;-;49%;6%;14.1%;['Support', 'Top Laner']
VCS/2020_Season/Spring_Season;Camille;7;5.1%;-;7;4;6;1;85.7%;3.71;3.57;6.57;2.88;246.57;8.13;13.2;435;-;-;56.7%;20.5%;22.8%;['Top Laner']
VCS/2020_Season/Spring_Season;Skarner;7;5.1%;3;4;2;3;1;75%;2.25;3.5;9.75;3.43;145.25;4.68;10;324;-;-;68.6%;12.9%;17.5%;['Jungler']
VCS/2020_Season/Spring_Season;Diana;6;4.4%;4;2;1;1;1;50%;3;2.5;6;3.6;182.5;6.97;9.6;365;-;-;69.2%;23.1%;21.5%;['Mid Laner']
VCS/2020_Season/Spring_Season;Ekko;5;3.6%;2;3;3;3;0;100%;7.67;2.67;9.33;6.38;235.67;7.12;14.5;439;-;-;76.1%;34.3%;22.7%;['Jungler', 'Mid Laner']
VCS/2020_Season/Spring_Season;Poppy;5;3.6%;2;3;2;1;2;33.3%;2;4;8.67;2.67;195.67;6.04;10.6;326;-;-;65.3%;12.2%;18.9%;['Top Laner']
VCS/2020_Season/Spring_Season;Soraka;5;3.6%;2;3;3;1;2;33.3%;0.67;3.67;7.33;2.18;146.67;5.21;7.9;280;-;-;55.8%;4.7%;16.2%;['Top Laner', 'Mid Laner']
VCS/2020_Season/Spring_Season;Lissandra;4;2.9%;-;4;2;4;0;100%;2.5;1.25;8.75;9;253.75;8.64;11.9;405;-;-;60%;13.3%;21.2%;['Mid Laner']
VCS/2020_Season/Spring_Season;Ziggs;4;2.9%;-;4;3;1;3;25%;2;2.5;10.25;4.9;292.5;8.56;12.9;378;-;-;75.4%;12.3%;21.8%;['Mid Laner', 'Bot Laner']
VCS/2020_Season/Spring_Season;Caitlyn;4;2.9%;1;3;2;1;2;33.3%;1.33;2;4;2.67;272.33;9.43;11.5;399;-;-;53.3%;13.3%;22.8%;['Bot Laner']
VCS/2020_Season/Spring_Season;Vayne;4;2.9%;2;2;1;0;2;0%;3;7;1;0.57;175;6.35;9.4;341;-;-;53.3%;40%;23.4%;['Mid Laner']
VCS/2020_Season/Spring_Season;Kled;3;2.2%;-;3;2;2;1;66.7%;2.67;3.33;8.33;3.3;196.67;7.19;-;-;-;-;75%;18.2%;-;['Mid Laner', 'Top Laner']
VCS/2020_Season/Spring_Season;Kindred;3;2.2%;-;3;3;1;2;33.3%;1.67;3.67;6;2.09;161;5.45;9.6;324;-;-;56.1%;12.2%;19.3%;['Jungler']
VCS/2020_Season/Spring_Season;Graves;3;2.2%;-;3;3;0;3;0%;1.67;3.33;3.33;1.5;188;6.86;9.5;346;-;-;71.4%;23.8%;22.3%;['Jungler']
VCS/2020_Season/Spring_Season;Kha'Zix;3;2.2%;-;3;2;0;3;0%;1.67;3;3.33;1.67;162.33;5.56;9.1;310;-;-;68.2%;22.7%;19.3%;['Jungler']
VCS/2020_Season/Spring_Season;Bard;2;1.5%;-;2;1;1;1;50%;1.5;1;9.5;11;37.5;1.18;7.8;246;-;-;88%;12%;14.7%;['Support']
VCS/2020_Season/Spring_Season;Alistar;2;1.5%;-;2;2;0;2;0%;1;4;4.5;1.38;33.5;1.01;7.3;221;-;-;55%;10%;14.1%;['Support']
VCS/2020_Season/Spring_Season;Xin Zhao;2;1.5%;1;1;1;1;0;100%;3;2;7;5;164;5.05;10.8;332;-;-;52.6%;15.8%;18.1%;['Jungler']
VCS/2020_Season/Spring_Season;Zac;2;1.5%;1;1;1;1;0;100%;2;6;7;1.5;162;3.97;11;270;-;-;39.1%;8.7%;15.1%;['Jungler']
VCS/2020_Season/Spring_Season;Ashe;2;1.5%;1;1;1;0;1;0%;0;3;2;0.67;243;7.81;9.8;315;-;-;50%;0%;20.9%;['Bot Laner']
VCS/2020_Season/Spring_Season;Jinx;1;0.7%;-;1;1;1;0;100%;7;0;5;12;268;11.39;-;-;-;-;80%;46.7%;-;['Bot Laner']
VCS/2020_Season/Spring_Season;Shen;1;0.7%;-;1;1;1;0;100%;2;2;15;8.5;33;1.22;7.4;276;-;-;70.8%;8.3%;13.7%;['Support']
VCS/2020_Season/Spring_Season;Zilean;1;0.7%;-;1;1;1;0;100%;1;1;7;8;277;9.06;11.9;390;-;-;80%;10%;21.3%;['Mid Laner']
VCS/2020_Season/Spring_Season;Cho'Gath;1;0.7%;-;1;1;0;1;0%;0;6;5;0.83;237;8.08;10.2;349;-;-;33.3%;0%;18.8%;['Top Laner']
VCS/2020_Season/Spring_Season;Corki;1;0.7%;-;1;1;0;1;0%;2;1;0;2;189;8.42;9;401;-;-;66.7%;66.7%;26.2%;['Mid Laner']
VCS/2020_Season/Spring_Season;Kayle;1;0.7%;-;1;1;0;1;0%;2;5;6;1.6;255;8.18;12.2;392;-;-;53.3%;13.3%;22.5%;['Top Laner']
VCS/2020_Season/Spring_Season;Pyke;1;0.7%;-;1;1;0;1;0%;2;2;1;1.5;62;1.69;8.4;229;-;-;60%;40%;13.4%;['Support']
VCS/2020_Season/Spring_Season;Quinn;1;0.7%;-;1;1;0;1;0%;2;3;0;0.67;231;8.06;10.6;371;-;-;40%;40%;23.7%;['Top Laner']
VCS/2020_Season/Spring_Season;Singed;1;0.7%;-;1;1;0;1;0%;6;3;9;5;184;6.13;11.1;369;-;-;83.3%;33.3%;21.4%;['Top Laner']
VCS/2020_Season/Spring_Season;Viktor;1;0.7%;-;1;1;0;1;0%;1;5;5;1.2;267;8.18;11.3;347;-;-;66.7%;11.1%;20.7%;['Mid Laner']
VCS/2020_Season/Spring_Season;Jax;1;0.7%;1;0;-;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;[]
VCS/2021_Season/Spring_Season;Rell;130;90.9%;92;38;9;24;14;63.2%;1.37;3.82;9.39;2.82;35.92;1.21;7.4;250;5.5k;185.5;63.9%;8.1%;13.3%;['Support']
VCS/2021_Season/Spring_Season;Kai'Sa;127;88.8%;29;98;10;56;42;57.1%;6.39;2.51;5.11;4.58;288.78;9.36;14.3;465;16.6k;536.9;67.4%;37.5%;25%;['Bot Laner']
VCS/2021_Season/Spring_Season;Gnar;121;84.6%;54;67;11;35;32;52.2%;2.3;3.25;5;2.24;237.79;8.11;11.4;389;13.9k;474.6;53.6%;16.9%;21.4%;['Top Laner']
VCS/2021_Season/Spring_Season;Lillia;115;80.4%;69;46;9;26;20;56.5%;3.02;2.3;7.5;4.57;203.04;6.69;11;364;13.1k;430.5;67.4%;19.4%;19.8%;['Jungler']
VCS/2021_Season/Spring_Season;Udyr;113;79%;52;61;8;28;33;45.9%;2.85;2.52;7.11;3.95;192.34;6.31;10.8;355;8.1k;266.8;66.7%;19.1%;19.6%;['Jungler']
VCS/2021_Season/Spring_Season;Thresh;112;78.3%;80;32;10;18;14;56.3%;0.5;2.94;9.03;3.24;35.44;1.17;7.1;235;3.4k;111.8;68.4%;3.6%;12.9%;['Support']
VCS/2021_Season/Spring_Season;Renekton;110;76.9%;57;53;12;25;28;47.2%;2.13;3.11;5.75;2.53;251.34;8.06;11.9;381;11.9k;382.9;52.9%;14.3%;21%;['Top Laner', 'Mid Laner']
VCS/2021_Season/Spring_Season;Seraphine;103;72%;79;24;11;11;13;45.8%;1.58;3.29;8.92;3.19;127.29;4.14;9.1;296;9k;293.9;76.6%;11.6%;16.8%;['Support', 'Mid Laner', 'Bot Laner']
VCS/2021_Season/Spring_Season;Camille;101;70.6%;68;33;9;19;14;57.6%;3.88;2.97;5.12;3.03;246.94;8.1;12.4;408;15.2k;499.8;54%;23.3%;21.8%;['Top Laner', 'Mid Laner']
VCS/2021_Season/Spring_Season;Galio;93;65%;41;52;18;29;23;55.8%;1.79;2.92;9.13;3.74;96.17;3.21;8.5;285;8.4k;281.2;68.4%;11.2%;15.6%;['Support', 'Mid Laner', 'Top Laner']
VCS/2021_Season/Spring_Season;Tristana;88;61.5%;44;44;13;25;19;56.8%;5.23;2.36;4.61;4.16;285.05;9.49;13.8;458;16.4k;546.8;66.7%;35.4%;24.8%;['Bot Laner', 'Mid Laner']
VCS/2021_Season/Spring_Season;Sett;83;58%;54;29;10;17;12;58.6%;2.03;3.52;7.48;2.71;80.17;2.6;8.5;274;7.2k;234.1;57.7%;12.3%;14.7%;['Support', 'Mid Laner']
VCS/2021_Season/Spring_Season;Olaf;81;56.6%;50;31;9;19;12;61.3%;3.52;2.52;6.84;4.12;188.87;6.12;11.2;364;12.9k;418.2;65.8%;22.3%;19.8%;['Jungler']
VCS/2021_Season/Spring_Season;Hecarim;80;55.9%;37;43;9;22;21;51.2%;3.4;2.95;7.28;3.61;182.16;6.02;10.6;349;9.5k;314.7;71.9%;22.9%;19.2%;['Jungler']
VCS/2021_Season/Spring_Season;Gragas;72;50.3%;18;54;19;27;27;50%;2.2;3.31;6.46;2.61;150;4.91;9.5;311;12.6k;412.5;57.4%;14.6%;17.3%;['Top Laner', 'Support', 'Jungler']
VCS/2021_Season/Spring_Season;Orianna;72;50.3%;27;45;8;23;22;51.1%;2.6;2.53;7.6;4.03;259.58;8.33;12;386;15.3k;492.1;67.8%;17.3%;21.3%;['Mid Laner']
VCS/2021_Season/Spring_Season;Syndra;71;49.7%;46;25;8;14;11;56%;2.84;2.64;6.2;3.42;268.04;8.45;12.3;386;16.8k;530.2;60.8%;19.1%;21.1%;['Mid Laner']
VCS/2021_Season/Spring_Season;Lucian;70;49%;52;18;8;7;11;38.9%;3.5;3.39;4.06;2.23;241;8.81;11.3;414;13.4k;490.7;58.6%;27.2%;23.2%;['Mid Laner', 'Top Laner', 'Bot Laner']
VCS/2021_Season/Spring_Season;Azir;61;42.7%;32;29;7;16;13;55.2%;2.66;2.72;6.34;3.3;287.07;8.91;12.9;399;19.7k;609.7;61.4%;18.1%;22.2%;['Mid Laner']
VCS/2021_Season/Spring_Season;Xayah;60;42%;15;45;9;24;21;53.3%;4.4;2.8;5.36;3.48;298.84;9.7;13.8;447;17k;550.9;65.8%;29.7%;24.7%;['Bot Laner']
VCS/2021_Season/Spring_Season;Zoe;57;39.9%;43;14;6;8;6;57.1%;4.43;1.86;6.57;5.92;269.57;8.26;13.1;401;20.3k;622;65%;26.2%;21.9%;['Mid Laner']
VCS/2021_Season/Spring_Season;Leona;54;37.8%;20;34;11;15;19;44.1%;0.76;3.5;8;2.5;37.38;1.28;6.9;236;3.9k;134.9;60.1%;5.2%;13%;['Support']
VCS/2021_Season/Spring_Season;Alistar;53;37.1%;18;35;9;15;20;42.9%;0.8;3.51;8.63;2.68;33.91;1.16;6.8;233;4.6k;158.9;68%;5.8%;13.1%;['Support']
VCS/2021_Season/Spring_Season;Nidalee;49;34.3%;25;24;7;8;16;33.3%;2.58;3.13;5.33;2.53;194.63;6.65;10.4;354;11.9k;404.8;66%;21.5%;20.1%;['Jungler']
VCS/2021_Season/Spring_Season;Irelia;44;30.8%;28;16;8;4;12;25%;3.44;3.81;3.75;1.89;261.75;8.96;11.9;407;11.4k;390.6;59.3%;28.4%;23%;['Mid Laner', 'Top Laner']
VCS/2021_Season/Spring_Season;Samira;42;29.4%;14;28;8;11;17;39.3%;5.11;3.25;4;2.8;253.25;8.55;12.6;426;12.2k;413.6;66.2%;37.1%;23.9%;['Bot Laner']
VCS/2021_Season/Spring_Season;Jayce;39;27.3%;20;19;11;8;11;42.1%;2.37;3.42;4.42;1.98;254.68;8.83;11.3;393;17.3k;601.5;50.2%;17.5%;21.7%;['Top Laner', 'Mid Laner']
VCS/2021_Season/Spring_Season;Viktor;37;25.9%;7;30;8;12;18;40%;3.17;3.23;6.03;2.85;275.47;8.6;12.6;393;22.8k;711.3;61.1%;21%;22%;['Mid Laner']
VCS/2021_Season/Spring_Season;Twisted Fate;35;24.5%;19;16;7;7;9;43.8%;2.5;2.63;9;4.38;223.56;7.57;11.9;403;14.9k;503.3;69.2%;15%;21.7%;['Mid Laner']
